case_id	source_state
valid_minimal	LEGACY_EMBEDDED
valid_top_level_whitespace	LEGACY_EMBEDDED
valid_escaped_solidus_and_surrogate_pair	LEGACY_EMBEDDED
valid_highest_unicode_scalar_escape	LEGACY_EMBEDDED
valid_literal_backslash_u_low_surrogate	LEGACY_EMBEDDED
valid_escaped_control	LEGACY_EMBEDDED
valid_internal_bom_codepoint	LEGACY_EMBEDDED
valid_unicode_distinct_keys	LEGACY_EMBEDDED
valid_fraction_payload	LEGACY_EMBEDDED
valid_exponent_payload	LEGACY_EMBEDDED
valid_exponent_plus_payload	LEGACY_EMBEDDED
empty	MANIFEST_AUTHORITY
whitespace_only	MANIFEST_AUTHORITY
bom	MANIFEST_AUTHORITY
invalid_utf8	MANIFEST_AUTHORITY
truncated_utf8	MANIFEST_AUTHORITY
overlong_utf8	MANIFEST_AUTHORITY
stray_utf8_continuation	MANIFEST_AUTHORITY
utf8_encoded_surrogate	MANIFEST_AUTHORITY
utf8_above_unicode_max	MANIFEST_AUTHORITY
legacy_five_byte_utf8	MANIFEST_AUTHORITY
utf16_little_endian	MANIFEST_AUTHORITY
utf16_big_endian	MANIFEST_AUTHORITY
vertical_tab_whitespace	LEGACY_EMBEDDED
form_feed_whitespace	LEGACY_EMBEDDED
nonbreaking_space_whitespace	LEGACY_EMBEDDED
raw_control_in_string	LEGACY_EMBEDDED
raw_nul_in_string	LEGACY_EMBEDDED
unescaped_newline_in_string	LEGACY_EMBEDDED
comment	LEGACY_EMBEDDED
line_comment	LEGACY_EMBEDDED
trailing_comma	LEGACY_EMBEDDED
array_trailing_comma	LEGACY_EMBEDDED
nan	LEGACY_EMBEDDED
infinity	LEGACY_EMBEDDED
second_document	LEGACY_EMBEDDED
trailing_character	LEGACY_EMBEDDED
lone_surrogate	LEGACY_EMBEDDED
lone_low_surrogate	LEGACY_EMBEDDED
reversed_surrogate_pair	LEGACY_EMBEDDED
invalid_escape_x	LEGACY_EMBEDDED
invalid_escape_q	LEGACY_EMBEDDED
invalid_unicode_escape_hex	LEGACY_EMBEDDED
single_quoted_string	LEGACY_EMBEDDED
unquoted_key	LEGACY_EMBEDDED
hexadecimal_number	LEGACY_EMBEDDED
leading_plus_number	LEGACY_EMBEDDED
leading_zero_number	LEGACY_EMBEDDED
negative_leading_zero_number	LEGACY_EMBEDDED
trailing_decimal_point	LEGACY_EMBEDDED
leading_decimal_point	LEGACY_EMBEDDED
incomplete_exponent	LEGACY_EMBEDDED
duplicate_root	MANIFEST_AUTHORITY
duplicate_escaped_key	MANIFEST_AUTHORITY
duplicate_nested	LEGACY_EMBEDDED
duplicate_embedded_null_key	LEGACY_EMBEDDED
reference_not_found	LEGACY_EMBEDDED
reference_found	LEGACY_EMBEDDED
cross_field_semantic_constraint	LEGACY_EMBEDDED
cross_field_semantic_valid	LEGACY_EMBEDDED
unknown_root_field	LEGACY_EMBEDDED
unknown_pointer_escape_slash	LEGACY_EMBEDDED
unknown_pointer_escape_tilde	LEGACY_EMBEDDED
missing_protocol_id	LEGACY_EMBEDDED
wrong_schema_version_type	LEGACY_EMBEDDED
wrong_messages_type	LEGACY_EMBEDDED
root_array	LEGACY_EMBEDDED
root_string	LEGACY_EMBEDDED
root_number	LEGACY_EMBEDDED
root_boolean	LEGACY_EMBEDDED
root_null	LEGACY_EMBEDDED
depth_exact	LEGACY_EMBEDDED
value_depth_over	LEGACY_EMBEDDED
container_depth_preflight_over	LEGACY_EMBEDDED
string_exact	LEGACY_EMBEDDED
string_over	LEGACY_EMBEDDED
nested_string_over	LEGACY_EMBEDDED
array_exact	LEGACY_EMBEDDED
array_over	LEGACY_EMBEDDED
node_exact	LEGACY_EMBEDDED
node_over	LEGACY_EMBEDDED
input_exact	LEGACY_EMBEDDED
input_over	LEGACY_EMBEDDED
poc_complete_record_skeleton	LEGACY_EMBEDDED
poc_fixed_frame_skeleton	LEGACY_EMBEDDED
poc_stream_field_dense_skeleton	LEGACY_EMBEDDED
valid_negative_zero_integer	MANIFEST_AUTHORITY
valid_uint64_max	MANIFEST_AUTHORITY
float_for_integer	MANIFEST_AUTHORITY
zero_float_for_integer	MANIFEST_AUTHORITY
negative_zero_float_for_integer	MANIFEST_AUTHORITY
exponent_for_integer	MANIFEST_AUTHORITY
zero_exponent_for_integer	MANIFEST_AUTHORITY
uppercase_exponent_for_integer	MANIFEST_AUTHORITY
uint64_overflow	MANIFEST_AUTHORITY
negative_unsigned	MANIFEST_AUTHORITY
valid_int64_min	MANIFEST_AUTHORITY
valid_int64_max	MANIFEST_AUTHORITY
int64_overflow	MANIFEST_AUTHORITY
int64_underflow	MANIFEST_AUTHORITY
